      Time     Sample #  Type  Sub Chan  Num	Aux
[15:00:00.272]       68     +    0    0    0	(N
[15:17:45.992]   266498     +    0    0    0	(AFIB
[15:25:05.312]   376328     +    0    0    0	(N
[17:52:21.136]  2585284     +    0    0    0	(AFIB
[17:53:30.064]  2602516     +    0    0    0	(N
[17:55:39.644]  2634911     +    0    0    0	(AFIB
[18:02:39.248]  2739812     +    0    0    0	(N
[18:03:00.648]  2745162     +    0    0    0	(AFIB
[18:05:18.324]  2779581     +    0    0    0	(N
[18:08:58.956]  2834739     +    0    0    0	(AFIB
[18:09:26.912]  2841728     +    0    0    0	(N
[18:27:56.940]  3119235     +    0    0    0	(AFIB
[18:28:06.824]  3121706     +    0    0    0	(N
[18:41:38.104]  3324526     +    0    0    0	(AFIB
[18:43:28.732]  3352183     +    0    0    0	(N
[19:00:28.496]  3607124     +    0    0    0	(AFIB
[19:02:30.076]  3637519     +    0    0    0	(N
[19:04:22.496]  3665624     +    0    0    0	(AFIB
[19:05:22.520]  3680630     +    0    0    0	(N
[19:06:01.424]  3690356     +    0    0    0	(AFIB
[19:07:08.128]  3707032     +    0    0    0	(N
[19:07:37.820]  3714455     +    0    0    0	(AFIB
[19:08:37.816]  3729454     +    0    0    0	(N
[19:10:31.572]  3757893     +    0    0    0	(AFIB
[19:16:40.692]  3850173     +    0    0    0	(N
[19:17:37.352]  3864338     +    0    0    0	(AFIB
[19:18:48.344]  3882086     +    0    0    0	(N
[19:20:47.860]  3911965     +    0    0    0	(AFIB
[19:22:38.916]  3939729     +    0    0    0	(N
[19:23:09.392]  3947348     +    0    0    0	(AFIB
[19:26:10.876]  3992719     +    0    0    0	(N
[19:26:51.904]  4002976     +    0    0    0	(AFIB
[19:31:08.212]  4067053     +    0    0    0	(N
[19:33:22.872]  4100718     +    0    0    0	(AFIB
[19:35:41.820]  4135455     +    0    0    0	(N
[19:36:18.452]  4144613     +    0    0    0	(AFIB
[19:38:41.252]  4180313     +    0    0    0	(N
[19:38:56.604]  4184151     +    0    0    0	(AFIB
[19:40:28.892]  4207223     +    0    0    0	(N
[19:41:07.860]  4216965     +    0    0    0	(AFIB
[19:42:10.244]  4232561     +    0    0    0	(N
[19:53:08.756]  4397189     +    0    0    0	(AFIB
[19:55:18.608]  4429652     +    0    0    0	(N
[19:57:56.032]  4469008     +    0    0    0	(AFIB
[19:58:20.904]  4475226     +    0    0    0	(N
[19:58:59.144]  4484786     +    0    0    0	(AFIB
[20:00:33.740]  4508435     +    0    0    0	(N
[20:01:49.032]  4527258     +    0    0    0	(AFIB
[20:03:27.472]  4551868     +    0    0    0	(N
[20:04:50.232]  4572558     +    0    0    0	(AFIB
[20:06:50.836]  4602709     +    0    0    0	(N
[20:08:28.308]  4627077     +    0    0    0	(AFIB
[20:09:07.992]  4636998     +    0    0    0	(N
[20:10:01.716]  4650429     +    0    0    0	(AFIB
[20:13:20.432]  4700108     +    0    0    0	(N
[20:23:05.492]  4846373     +    0    0    0	(AFIB
[20:23:56.080]  4859020     +    0    0    0	(N
[20:31:50.012]  4977503     +    0    0    0	(AFIB
[20:33:27.596]  5001899     +    0    0    0	(N
[20:35:01.744]  5025436     +    0    0    0	(AFIB
[20:36:29.660]  5047415     +    0    0    0	(N
[20:37:37.584]  5064396     +    0    0    0	(AFIB
[20:38:25.236]  5076309     +    0    0    0	(N
[20:39:32.892]  5093223     +    0    0    0	(AFIB
[20:40:21.760]  5105440     +    0    0    0	(N
[20:41:29.532]  5122383     +    0    0    0	(AFIB
[20:42:24.168]  5136042     +    0    0    0	(N
[20:42:54.824]  5143706     +    0    0    0	(AFIB
[20:43:30.124]  5152531     +    0    0    0	(N
[20:48:12.628]  5223157     +    0    0    0	(AFIB
[20:49:10.560]  5237640     +    0    0    0	(N
[20:49:43.680]  5245920     +    0    0    0	(AFIB
[20:50:34.356]  5258589     +    0    0    0	(N
[20:51:16.548]  5269137     +    0    0    0	(AFIB
[20:54:01.720]  5310430     +    0    0    0	(N
[20:55:14.868]  5328717     +    0    0    0	(AFIB
[20:58:52.844]  5383211     +    0    0    0	(N
[21:00:49.772]  5412443     +    0    0    0	(AFIB
[21:03:06.996]  5446749     +    0    0    0	(N
[21:05:27.048]  5481762     +    0    0    0	(AFIB
[21:06:57.592]  5504398     +    0    0    0	(N
[21:07:53.856]  5518464     +    0    0    0	(AFIB
[21:09:03.528]  5535882     +    0    0    0	(N
[21:10:39.708]  5559927     +    0    0    0	(AFIB
[21:11:44.148]  5576037     +    0    0    0	(N
[21:12:49.120]  5592280     +    0    0    0	(AFIB
[21:15:32.288]  5633072     +    0    0    0	(N
[21:17:53.468]  5668367     +    0    0    0	(AFIB
[21:19:01.968]  5685492     +    0    0    0	(N
[21:20:52.748]  5713187     +    0    0    0	(AFIB
[21:21:19.444]  5719861     +    0    0    0	(N
[21:23:07.908]  5746977     +    0    0    0	(AFIB
[21:24:59.048]  5774762     +    0    0    0	(N
[21:26:29.188]  5797297     +    0    0    0	(AFIB
[21:28:11.876]  5822969     +    0    0    0	(N
[21:30:36.920]  5859230     +    0    0    0	(AFIB
[21:31:04.688]  5866172     +    0    0    0	(N
[21:32:46.720]  5891680     +    0    0    0	(AFIB
[21:35:26.984]  5931746     +    0    0    0	(N
[21:48:38.392]  6129598     +    0    0    0	(AFIB
[21:49:29.276]  6142319     +    0    0    0	(N
[21:51:11.864]  6167966     +    0    0    0	(AFIB
[21:53:21.492]  6200373     +    0    0    0	(N
[21:56:59.736]  6254934     +    0    0    0	(AFIB
[21:58:15.544]  6273886     +    0    0    0	(N
[22:05:14.892]  6378723     +    0    0    0	(AFIB
[22:06:58.376]  6404594     +    0    0    0	(N
[22:15:21.900]  6530475     +    0    0    0	(AFIB
[22:15:52.724]  6538181     +    0    0    0	(N
[22:17:29.280]  6562320     +    0    0    0	(AFIB
[22:18:19.336]  6574834     +    0    0    0	(N
[22:25:24.272]  6681068     +    0    0    0	(AFIB
[22:26:45.812]  6701453     +    0    0    0	(N
[22:29:57.140]  6749285     +    0    0    0	(AFIB
[22:30:50.792]  6762698     +    0    0    0	(N
[22:32:53.480]  6793370     +    0    0    0	(AFIB
[22:33:06.316]  6796579     +    0    0    0	(N
[22:52:13.328]  7083332     +    0    0    0	(AFIB
[22:53:19.816]  7099954     +    0    0    0	(N
[23:00:08.716]  7202179     +    0    0    0	(AFIB
[23:03:35.904]  7253976     +    0    0    0	(N
[23:07:31.268]  7312817     +    0    0    0	(AFIB
[23:09:12.008]  7338002     +    0    0    0	(N
[23:15:47.432]  7436858     +    0    0    0	(AFIB
[23:16:41.324]  7450331     +    0    0    0	(N
[23:18:06.228]  7471557     +    0    0    0	(AFIB
[23:18:29.876]  7477469     +    0    0    0	(N
[23:20:47.448]  7511862     +    0    0    0	(AFIB
[23:20:58.344]  7514586     +    0    0    0	(N
[23:22:31.848]  7537962     +    0    0    0	(AFIB
[23:23:42.264]  7555566     +    0    0    0	(N
[23:27:00.440]  7605110     +    0    0    0	(AFIB
[23:28:07.880]  7621970     +    0    0    0	(N
[23:30:37.704]  7659426     +    0    0    0	(AFIB
[23:31:16.796]  7669199     +    0    0    0	(AFL
[23:31:29.696]  7672424     +    0    0    0	(N
[23:35:48.176]  7737044     +    0    0    0	(AFIB
[23:37:58.576]  7769644     +    0    0    0	(N
[23:41:44.712]  7826178     +    0    0    0	(AFIB
[23:42:45.652]  7841413     +    0    0    0	(N
[23:54:11.264]  8012816     +    0    0    0	(AFIB
[23:55:12.712]  8028178     +    0    0    0	(N
[23:56:33.000]  8048250     +    0    0    0	(AFIB
[23:56:39.180]  8049795     +    0    0    0	(N
[23:57:57.604]  8069401     +    0    0    0	(AFIB
[23:59:18.940]  8089735     +    0    0    0	(N
[00:06:32.340 1]  8198085     +    0    0    0	(AFIB
[00:07:53.152 1]  8218288     +    0    0    0	(N
[00:10:26.248 1]  8256562     +    0    0    0	(AFIB
[00:10:49.196 1]  8262299     +    0    0    0	(N
[00:17:03.216 1]  8355804     +    0    0    0	(AFIB
[00:17:29.252 1]  8362313     +    0    0    0	(N
[00:20:45.256 1]  8411314     +    0    0    0	(AFIB
[00:24:45.252 1]  8471313     +    0    0    0	(N
[00:39:33.888 1]  8693472     +    0    0    0	(AFIB
[00:40:28.416 1]  8707104     +    0    0    0	(N
[00:42:09.980 1]  8732495     +    0    0    0	(AFIB
[00:43:30.944 1]  8752736     +    0    0    0	(N
[00:45:52.400 1]  8788100     +    0    0    0	(AFIB
[00:46:46.752 1]  8801688     +    0    0    0	(N
[00:51:37.192 1]  8874298     +    0    0    0	(AFIB
[00:52:18.300 1]  8884575     +    0    0    0	(N
[00:54:03.880 1]  8910970     +    0    0    0	(AFIB
[00:54:46.076 1]  8921519     +    0    0    0	(N
[00:56:48.044 1]  8952011     +    0    0    0	(AFIB
[00:58:45.144 1]  8981286     +    0    0    0	(N
